ID716,2.748183966
ID717,2.730132341
ID719,2.893719912
ID720,2.8954916
ID721,2.835062504
ID722,2.859279871
ID723,2.864980936
ID724,2.736828327
ID725,2.723857164
ID727,2.739027977
ID728,2.753602505
ID729,3.007102966
ID730,2.917190075
ID731,2.809978962
ID732,2.974074364
ID733,2.744418859
ID734,2.722857475
ID735,2.954158783
ID736,2.73295784
ID737,2.69969821
ID738,2.933156252
ID739,2.669163465
ID740,2.679483175
ID741,2.770360708
ID742,2.668115616
ID743,2.925348043
ID744,2.691153526
ID745,2.719666243
ID746,2.836598873
ID747,2.811332941
ID749,2.828090906
ID751,2.753397942
ID752,2.709650517
ID753,2.850682735
ID757,2.905171633
ID759,2.946751595
ID760,2.848574162
ID761,2.805833101
ID762,2.825615883
ID763,2.808215618
ID764,2.84744072
ID765,2.817062855
ID766,2.833910704
ID768,2.887241125
ID769,2.792606592
ID770,2.89471221
ID771,2.915728807
ID772,2.802026749
ID773,2.80243206
ID774,2.804684162
ID776,2.809282541
ID777,2.843373299
ID778,2.845704794
ID779,2.851938963
ID781,2.853635311
ID783,2.883952618
ID785,2.861158133
ID786,2.791874647
ID787,2.69825387
ID788,2.821380377
ID790,2.805166483
ID792,2.745992422
ID793,2.684894323
ID797,2.825714588
ID798,2.914433956
ID801,2.86123848
ID802,2.722886562
ID803,2.762760639
ID804,2.990522385
ID806,2.72022748
ID807,2.880423069
ID811,2.733901501
ID812,2.759074688
ID813,2.84906292
ID816,2.8217206
ID817,2.96795845
ID818,2.796333551
ID819,2.727628231
ID820,2.718656778
ID821,2.883985996
ID822,2.799206495
ID823,2.923928738
ID824,2.849562168
ID825,2.821193695
ID826,2.777078152
ID833,2.884391308
ID834,2.804221869
ID835,2.900604486
ID838,2.907078743
ID839,2.882868528
ID841,2.873756647
ID844,2.912303209
ID848,2.733030081
ID849,2.809843779
ID850,2.757847309
ID851,2.820004463
ID852,2.799502134
ID853,2.764554977
ID854,3.025081635
ID855,2.827149391
